package	file	language	kind	name	standardizedName	status	line
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	constant	WINDOW_WIDTH	WINDOW_WIDTH	standard	30
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	constant	WINDOW_HEIGHT	WINDOW_HEIGHT	standard	31
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	constant	ROW_HEIGHT	ROW_HEIGHT	standard	32
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	constant	CARD_WIDTH	CARD_WIDTH	standard	34
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	constant	OVERSCAN	OVERSCAN	standard	35
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	constant	MOUNTED_ROWS	MOUNTED_ROWS	standard	38
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	variable	medianUs	medianUs	standard	42
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	variable	minUs	minUs	standard	43
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	variable	maxUs	maxUs	standard	44
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	variable	rows	rows	standard	49
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	parameter	value	value	standard	61
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	variable	opsPerBatch	opsPerBatch	standard	73
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	variable	batches	batches	standard	74
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	constant	WARMUP_BATCHES	WARMUP_BATCHES	standard	77
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	variable	warmup	warmup	standard	79
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	variable	op	op	standard	81
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	variable	batch	batch	standard	88
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	variable	start	start	standard	90
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	variable	op	op	standard	91
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	variable	elapsed	elapsed	standard	94
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	variable	rows	rows	standard	107
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	parameter	rows	rows	standard	107
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	parameter	scenario	scenario	standard	107
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	parameter	timing	timing	standard	107
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	parameter	unit	unit	standard	107
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	variable	count	count	standard	114
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	parameter	count	count	standard	114
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	variable	index	index	standard	117
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	variable	count	count	standard	123
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	parameter	count	count	standard	123
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	variable	index	index	standard	126
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	parameter	keys	keys	standard	135
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	variable	offsetY	offsetY	standard	135
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	parameter	offsetY	offsetY	standard	135
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	parameter	container	container	standard	149
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	variable	count	count	standard	149
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	parameter	count	count	standard	149
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	variable	horizontal	horizontal	standard	149
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	parameter	horizontal	horizontal	standard	149
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	variable	mainSize	mainSize	standard	149
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	parameter	mainSize	mainSize	standard	149
shadowlist-core-bench	packages/shadowlist-core-bench/bench.cpp	native	variable	width	width	standard	150
